Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  136 |       8 | Accept |      5.0189 |      7.3851 |    0.015092 |     0.62279 |           16 |            5 |       tansig |       compet |
|  137 |       8 | Accept |    0.024055 |      164.39 |    0.015092 |     0.61739 |           14 |            4 |       tansig |       tansig |
|  138 |       8 | Accept |      4.6692 |      1.5923 |    0.015092 |     0.62785 |            8 |            3 |       netinv |       compet |
|  139 |       8 | Accept |    0.024073 |       87.84 |    0.015092 |     0.65219 |            8 |           10 |       logsig |      radbasn |
|  140 |       8 | Accept |      6.0567 |      2.5586 |    0.015092 |     0.65081 |            5 |            3 |       netinv |       compet |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  141 |       8 | Accept |       1.803 |      2.9696 |    0.015092 |     0.65387 |           10 |            3 |       netinv |       tansig |
|  142 |       8 | Accept |      4.8932 |      1.0942 |    0.015092 |     0.66318 |           10 |            3 |       netinv |       tansig |
|  143 |       8 | Accept |      3.2103 |      3.1983 |    0.015092 |     0.67063 |            8 |            3 |       netinv |    elliotsig |
|  144 |       8 | Accept |       3.231 |      3.9121 |    0.015092 |     0.67187 |           13 |            3 |       netinv |    elliotsig |
|  145 |       8 | Accept |    0.023912 |      864.47 |    0.015092 |     0.66617 |           25 |            4 |       tansig |    elliotsig |
|  146 |       8 | Accept |      2.0794 |      5.1508 |    0.015092 |      0.6699 |           11 |            3 |       netinv |       logsig |
|  147 |       8 | Accept |      5.3519 |     0.94971 |    0.015092 |     0.67908 |            8 |            3 |       netinv |       logsig |
|  148 |       8 | Accept |    0.025049 |      58.484 |    0.015092 |     0.67337 |           12 |            3 |    elliotsig |       logsig |
|  149 |       8 | Accept |      6.5507 |       2.057 |    0.015092 |     0.68327 |           14 |            3 |       radbas |       compet |
|  150 |       8 | Accept |    0.026605 |      101.85 |    0.015092 |     0.67774 |           12 |            3 |       radbas |       tansig |
|  151 |       8 | Accept |    0.038637 |      156.74 |    0.015092 |     0.67236 |            6 |            3 |       radbas |    elliotsig |
|  152 |       8 | Accept |      5.6726 |      8.6967 |    0.015092 |      0.6822 |           28 |            3 |       netinv |       netinv |
|  153 |       8 | Accept |      5.9777 |      1.1433 |    0.015092 |      0.6917 |            2 |            3 |      radbasn |       compet |
|  154 |       8 | Accept |    0.039216 |      183.76 |    0.015092 |     0.68645 |            4 |            3 |       radbas |       logsig |
|  155 |       8 | Accept |      6.1589 |      1.3373 |    0.015092 |     0.69561 |            8 |            3 |      softmax |       compet |
|  156 |       8 | Accept |    0.030896 |      54.176 |    0.015092 |     0.69044 |            7 |            3 |      softmax |       tansig |
|  157 |       8 | Accept |      6.3793 |      1.1529 |    0.015092 |     0.69917 |            7 |            3 |       tribas |       compet |
|  158 |       8 | Accept |    0.037826 |      27.713 |    0.015092 |     0.69416 |           10 |            3 |       tribas |       tansig |
|  159 |       8 | Accept |    0.035611 |      24.088 |    0.015092 |      0.6892 |           17 |            3 |       tribas |    elliotsig |
|  160 |       8 | Accept |      6.0891 |      2.4605 |    0.015092 |     0.69787 |           15 |            5 |       logsig |       compet |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  161 |       8 | Accept |    0.070652 |      171.94 |    0.015092 |     0.69317 |            3 |            3 |      radbasn |       tansig |
|  162 |       8 | Accept |      5.7878 |     0.86136 |    0.015092 |     0.68721 |            2 |            3 |      radbasn |       compet |
|  163 |       8 | Accept |      5.3623 |      32.745 |    0.015092 |     0.69564 |            3 |            4 |       compet |       logsig |
|  164 |       8 | Accept |    0.030096 |      49.159 |    0.015092 |     0.69076 |           24 |            3 |       tribas |       logsig |
|  165 |       8 | Accept |    0.024048 |      241.13 |    0.015092 |     0.68593 |           16 |            5 |       logsig |       tansig |
|  166 |       8 | Accept |      6.2183 |       5.864 |    0.015092 |     0.69408 |           40 |            2 |       netinv |       radbas |
|  167 |       8 | Accept |      6.6068 |      3.6057 |    0.015092 |     0.70168 |           31 |            1 |       netinv |      radbasn |
|  168 |       8 | Accept |      5.9628 |      1.8978 |    0.015092 |     0.59964 |            3 |           12 |      radbasn |       compet |
|  169 |       8 | Accept |      5.9804 |      1.2485 |    0.015092 |     0.68529 |            2 |            6 |      radbasn |       compet |
|  170 |       8 | Accept |      4.1888 |      4.6217 |    0.015092 |      0.6837 |           10 |           14 |       compet |       compet |
|  171 |       8 | Accept |       1.823 |      16.261 |    0.015092 |     0.68222 |           10 |           14 |       netinv |       tansig |
|  172 |       8 | Accept |      6.2208 |      8.5061 |    0.015092 |      0.6759 |           10 |           15 |       tribas |       compet |
|  173 |       8 | Accept |    0.025111 |      419.84 |    0.015092 |     0.67111 |           24 |            3 |      softmax |       logsig |
|  174 |       8 | Accept |    0.024687 |      267.24 |    0.015092 |     0.61038 |            6 |           13 |       logsig |      softmax |
|  175 |       8 | Accept |      6.4282 |      1.0734 |    0.015092 |     0.61623 |            4 |            4 |      radbasn |       compet |
|  176 |       8 | Accept |      6.3546 |      1.2612 |    0.015092 |     0.62196 |            5 |            5 |      radbasn |       compet |
|  177 |       8 | Accept |      6.1645 |      1.4293 |    0.015092 |     0.65147 |           12 |            2 |      radbasn |       compet |
|  178 |       8 | Accept |      7.0246 |        3.38 |    0.015092 |     0.64462 |            8 |           12 |      softmax |       compet |
|  179 |       8 | Accept |      1.1341 |      9.7598 |    0.015092 |     0.64387 |            8 |           13 |       netinv |       logsig |
|  180 |       8 | Accept |      96.053 |      1.1357 |    0.015092 |     0.20458 |            1 |           13 |       compet |       netinv |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  181 |       8 | Accept |    0.026489 |       110.4 |    0.015092 |     0.20495 |            8 |            5 |       logsig |      softmax |
|  182 |       8 | Accept |      6.1154 |      3.5741 |    0.015092 |     0.20532 |            4 |           18 |      radbasn |       compet |
|  183 |       8 | Accept |      4.7558 |      117.44 |    0.015092 |       0.206 |            3 |            1 |       compet |       netinv |
|  184 |       8 | Accept |      5.5406 |      3.0249 |    0.015092 |     0.20613 |            9 |            9 |       compet |       compet |
|  185 |       8 | Accept |      5.1074 |      2.8679 |    0.015092 |     0.20646 |            7 |            9 |       netinv |       compet |
|  186 |       8 | Accept |      1.3414 |      12.447 |    0.015092 |     0.20654 |           10 |            8 |       netinv |       tansig |
|  187 |       8 | Accept |      1.1459 |      13.096 |    0.015092 |     0.20663 |           10 |            9 |       netinv |    elliotsig |
|  188 |       8 | Accept |       1.754 |      4.3515 |    0.015092 |     0.20667 |            5 |            7 |       netinv |       logsig |
|  189 |       8 | Accept |      6.3948 |      5.6825 |    0.015092 |     0.20715 |           12 |           11 |       radbas |       compet |
