Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  123 |       8 | Accept |     0.26514 |      15.035 |  0.00025852 |     0.14033 |            4 |           21 |    elliotsig |       netinv |
|  124 |       8 | Accept |    0.068262 |      102.45 |  0.00025852 |     0.14033 |            5 |           40 |       netinv |       tansig |
|  125 |       8 | Accept |      0.3389 |      1.6816 |  0.00025852 |     -2.3747 |            6 |            6 |       netinv |       netinv |
|  126 |       8 | Accept |    0.094723 |        3.03 |  0.00025852 |     -2.4006 |            5 |            8 |       netinv |    elliotsig |
|  127 |       8 | Accept |     0.33306 |      1.5213 |  0.00025852 |      -2.422 |            3 |            7 |    elliotsig |       netinv |
|  128 |       8 | Accept |     0.26679 |      3.9396 |  0.00025852 |     -2.4453 |            6 |           14 |       radbas |       netinv |
|  129 |       8 | Accept |     0.31433 |      33.337 |  0.00025852 |     -2.4608 |            3 |            2 |    elliotsig |       netinv |
|  130 |       8 | Accept |     0.33128 |       394.3 |  0.00025852 |     -2.4434 |           16 |            1 |       tansig |       netinv |
|  131 |       8 | Accept |     0.33768 |     0.76646 |  0.00025852 |      -2.422 |            4 |            1 |       radbas |       compet |
|  132 |       8 | Accept |     0.33352 |      1.7518 |  0.00025852 |     -2.4147 |            5 |           12 |       radbas |       compet |
|  133 |       8 | Accept |     0.34141 |      1.2916 |  0.00025852 |     -2.4261 |            4 |            8 |       radbas |       compet |
|  134 |       8 | Accept |     0.33411 |       2.666 |  0.00025852 |     -2.4341 |            5 |           20 |       radbas |       compet |
|  135 |       8 | Accept |     0.33348 |      8.5624 |  0.00025852 |     -2.4392 |            5 |           29 |       radbas |       compet |
|  136 |       8 | Accept |     0.32816 |     0.97674 |  0.00025852 |     -2.4583 |            4 |            5 |       radbas |       compet |
|  137 |       8 | Accept |     0.33013 |      34.522 |  0.00025852 |     -2.4622 |            5 |           38 |       radbas |       compet |
|  138 |       8 | Accept |     0.33223 |      2.4692 |  0.00025852 |     -2.4823 |            5 |           16 |       radbas |       compet |
|  139 |       8 | Accept |     0.31746 |       3.607 |  0.00025852 |      -2.501 |            4 |           25 |       radbas |       compet |
|  140 |       8 | Accept |     0.33501 |      1.8673 |  0.00025852 |     -2.4826 |            4 |           15 |      radbasn |       compet |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  141 |       8 | Accept |      0.3359 |      1.1492 |  0.00025852 |     -2.4792 |            4 |           10 |      radbasn |       compet |
|  142 |       8 | Accept |     0.33334 |     0.92625 |  0.00025852 |     -2.4853 |            4 |            4 |      radbasn |       compet |
